,Call_Number,Title
8622,BF712-724:Developmental psychology,cognitive development in children five monographs of the society for research in child development with an introd by roger brown cognition in children
8623,BF712-724:Developmental psychology,first notes by observant parents infant psychology
8624,BF712-724:Developmental psychology,das vaterbild der taochter eine psychologischpädagogische untersuchung bei 1320jährigen mädchen und bei einer kleinen vergleichsgruppe von knaben fathers and daughters
8626,BF712-724:Developmental psychology,kooperation und wettbewerb antiautoritär u konventionell erzogene kinder im vergleich e psycholog studie parent and child dogmatism
8627,BF712-724:Developmental psychology,jealousy and rivalry in children fighting psychology
8628,BF712-724:Developmental psychology,der frühkindliche trotz child psychology emotional problems of children
8629,BF698:Personality,the rorschach technique with children and adolescents application and norms by eugene e levitt and aare truumaa rorschach test child psychology adolescent psychology psychological tests for children
8630,BF309-499:Consciousness. Congition,personality patterns and oral reading a study of overt behaviorin the reading situation as it reveals reactions of dependence aggression and withdrawal in children published jointly by the reading institute division of general education and the school of education new york university oral reading personality disorders
8631,BF712-724:Developmental psychology,the development of conscience by geoffrey m stephenson conscience
8632,BF712-724:Developmental psychology,father relations of warborn children the effect of postwar adjustment of fathers on the behavior and personality of first children born while the fathers were at war by lois meek stolz and others father and child firstborn children
8633,BF712-724:Developmental psychology,pered shkoloi kniga dlia roditelei child development children quotations
8634,BF712-724:Developmental psychology,psychopédagogie du premier age infants child psychology
8635,BF712-724:Developmental psychology,the early years of life a psychoanalytic study with a pref by anna freud child psychology
8636,BF712-724:Developmental psychology,three babies biographies of cognitive development cognition in infants case studies
8637,BF712-724:Developmental psychology,six children draw toulouselautrec henri de 18641901 selfe lorna nadia a case of extraordinary drawing ability in an autistic child drawing ability in children case studies child artists case studies
8638,BF712-724:Developmental psychology,on the importance of infancy child psychology growth
8639,BF712-724:Developmental psychology,infant development the embryology of early human behavior developmental psychobiology infants development infant psychology
8640,BF712-724:Developmental psychology,direct observation and measurement of behavior by s j hutt and corinne hutt child psychology methodology psychology comparative
8641,BF712-724:Developmental psychology,black child white child the development of racial attitudes by judith d r porter race awareness in children african american children prejudices in children
8642,BF712-724:Developmental psychology,an exploratory study into the measurement of curiosity in elementary school children by wallace h maw and ethel w maw curiosity in children
8643,BF38-64:Philosophy,religion and the clinical practice of psychology psychology and religion psychiatry and religion experience religion psychological aspects
8644,BF309-499:Consciousness. Congition,children above 180 iq stanfordbinet origin and development none
8645,BF309-499:Consciousness. Congition,children above 180 i q stanfordbinet origin and development gifted children stanfordbinet test
8646,BF712-724:Developmental psychology,not by the color of their skin the impact of racial differences on the childs development hanna perkins school race awareness in children school integration united states
8647,BF712-724:Developmental psychology,understanding adolescence current developments in adolescent psychology edited by james f adams adolescent psychology
8648,BF712-724:Developmental psychology,social deviancy and adolescent personality an analytical study with the mmpi adolescence social adjustment minnesota multiphasic personality inventory
8649,BF636-637:Applied psychology,crucial conversations tools for talking when stakes are high interpersonal communication interpersonal relations
8650,BF712-724:Developmental psychology,psychology of adolescence adolescence
8651,BF712-724:Developmental psychology,psychology of adolescence adolescence
8652,BF712-724:Developmental psychology,psychology of adolescence by luella cole in association with irma nelson hall adolescence
8653,BF712-724:Developmental psychology,psychology of adolescence by luella cole with irma nelson hall adolescence
8654,BF712-724:Developmental psychology,psychology of adolescence by luella cole with irma nelson hall adolescent psychology
8655,BF712-724:Developmental psychology,principles of adolescent psychology by edmund s conklin adolescence
8656,BF511-593:Affection. Feeling. Emotion,rassurer et protéger le sentiment de sécurité dans loccident dautrefois security psychology social psychology europe history
8657,BF712-724:Developmental psychology,adolescents readings in behavior and development edited by ellis d evans adolescence
8658,BF712-724:Developmental psychology,zur psychologie des jugendalters youth
8659,BF712-724:Developmental psychology,developmental psychology a lifespan approach developmental psychology
8660,BF1-37:Psychology,psychology of adolescence by karl c garrison adolescence adolescence adolescent psychology
8661,BF1-37:Psychology,psychology of adolescence adolescent psychology adolescent psychology
8662,BF712-724:Developmental psychology,adolescent development by elizabeth b hurlock adolescent psychology
8663,BF712-724:Developmental psychology,la psychologie des adolescents adolescent psychology
8664,BF712-724:Developmental psychology,adolescence a psychological perspective adolescent psychology
8666,BF712-724:Developmental psychology,theories of adolescence adolescence
8667,BF712-724:Developmental psychology,theories of adolescence by rolf e muuss consulting editor l joseph stone adolescent psychology adolescent psychology
8668,BF636-637:Applied psychology,echanges sur la conversation conversation congresses interpersonal communication congresses communication psychological aspects congresses
8669,BF712-724:Developmental psychology,issues in adolescent psychology adolescent psychology
8670,BF712-724:Developmental psychology,frames of mind ability perception and selfperception in the arts and sciences teenage boys thought and thinking selfperception
8671,BF712-724:Developmental psychology,the psychological world of the teenager a study of normal adolescent boys teenage boys
8673,BF712-724:Developmental psychology,from adolescent to adult by percival m symonds with arthur r jensen adulthood prediction psychology symonds picture story test
8674,BF699-711:Genetic Psychology,reconciliation a theory of man transcending from the work of franklin j shaw edited by sidney m jourard and dan c overlade maturation psychology
8675,BF712-724:Developmental psychology,the ulyssean adult creativity in the middle later years middle age psychological aspects older people psychology creative ability
8676,BF712-724:Developmental psychology,the psychology of adult development and aging editors carl eisdorfer and m powell lawton aging older people psychology adulthood
8677,BF309-499:Consciousness. Congition,cognitive process instruction research on teaching thinking skills papers thought and thinking study and teaching congresses science study and teaching congresses mathematics study and teaching congresses
8678,BF712-724:Developmental psychology,the psychological aspects of the aging process with sociological implications old age aging psychological aspects aging social aspects
8679,BF309-499:Consciousness. Congition,a handbook for old age counsellors the method of salvaging rehabilitating and reconditioning old people used in the old age counselling center in san francisco california by lillien j martin old age counselling center san francisco ability influence of age on
8680,BF712-724:Developmental psychology,apprendre à vieillir older people psychology
8681,BF712-724:Developmental psychology,on growing old by a l vischer translated from the german by gerald onn older people psychology
8682,BF309-499:Consciousness. Congition,hereditary genius an inquiry into its laws and consequences with an introd by cd darlington genius heredity human
8683,BF699-711:Genetic Psychology,lhérédité des conduites par f bacher et al sous la direction de maurice reuchlin genetic psychology
8684,BF728-794:Psychology,paläoanthropologie der neue mensch in der sicht einer verhaltensforschung 1 aufl ethnopsychology
8685,BF728-794:Psychology,la mentalité archaïque ethnopsychology philosophical anthropology
8686,BF511-593:Affection. Feeling. Emotion,the measurement of human aggressiveness aggressiveness testing
8687,BF698:Personality,methodenprobleme der kulturvergleichenden psychologie von lutz eckensberger personality and culture ethnopsychology psychology methodology
8688,BF698:Personality,personality and social life text and readings consulting editor charles h page personality and culture socialization
8689,BF728-794:Psychology,rasse und kultur eine kulturbilanz der menschenrassen als weg zur rassenseelenkunde von dr phil et med friedrich keiter ethnopsychology race
8690,BF728-794:Psychology,ingleses franceses espanoles ensayo de psicología colectiva comparada por salvador de madariaga ethnopsychology national characteristics english national characteristics french national characteristics spanish
8691,BF38-64:Philosophy,the images of man by bernard g rosenthal psychology ethnopsychology
8692,BF728-794:Psychology,völkerpsychologie eine untersuchung der entwicklungsgesetze von sprache mythus und sitte ethnopsychology language and languages mythology religion
8693,BF728-794:Psychology,primitive intelligence and environment ethnopsychology nature effect of human beings on
8694,BF728-794:Psychology,primitive man as philosopher primitive societies ethnopsychology
8695,BF728-794:Psychology,primitive man as philosopher primitive societies ethnopsychology
8696,BF728-794:Psychology,human diversity ethnopsychology
8697,BF728-794:Psychology,von seele und antlitz der rassen und völker eine einführung in die vergleichende ausdrucksforschung von dr ludw ferd clauss mit 231 abbildungen auf 86 tafeln ethnopsychology race
8698,BF728-794:Psychology,race psychology a study of racial mental differences by thomas russell garth with an introduction by r s woodworth ethnopsychology
8699,BF728-794:Psychology,die geistige entwicklung der negerkinder ein beitrag zur frage nach den hemmungen der kulturentwicklung mit 173 abbildungen von zeichnungen und plastiken und einer wachstumskurve children black ethnopsychology
8700,BF309-499:Consciousness. Congition,negro intelligence and selective migration black people intelligence levels human beings migrations
8701,BF728-794:Psychology,dreams and deeds achievement motivation in nigeria national characteristics nigerian achievement motivation
8702,BF173-175:Psychoanalysis,écrits a selection psychoanalysis
8703,BF728-794:Psychology,einige bedingungen für urteile über völker rudolf günther national characteristics
8704,BF65-172:Psychology,writing papers in psychology a student guide psychology authorship report writing
8705,BF728-794:Psychology,estudios de psicología del mexicano national characteristics mexican
8706,BF309-499:Consciousness. Congition,geopsyche die menschenseele unterm einfluss von wetter und klima boden und landschaft nature effect of human beings on psychology
8707,BF309-499:Consciousness. Congition,räumliche umwelt die phänamenologie d räuml verhaltens als beitr zu e psycholog umwelttheorie environmental psychology
8708,BF712-724:Developmental psychology,stimulation in infancy infant psychology stress physiology
8709,BF699-711:Genetic Psychology,the great enterprise relating ourselves to our world psychology
8710,BF698:Personality,culture and personality by anthony f c wallace personality and culture ethnopsychology
8711,BF309-499:Consciousness. Congition,crowding and behavior environmental psychology crowding stress personal space
8712,BF728-794:Psychology,men in crisis a study of a mine disaster by rex a lucas mine accidents psychological aspects coal mine accidents
8713,BF309-499:Consciousness. Congition,human inference strategies and shortcomings of social judgment cognition inference judgment
8714,BF309-499:Consciousness. Congition,personal space the behavioral basis of design personal space
8715,BF660-685:Comparative psychology. Animal and human psychology,sozialverhalten bei mensch und tier ein symposion d akad d wiss u d literatur psychology comparative congresses social psychology congresses social behavior in animals congresses
8716,BF660-685:Comparative psychology. Animal and human psychology,comparative psychopathology animal and human psychology pathological congresses psychology comparative congresses
8717,BF180-198:Experimental psychology,analysis of behavioral change psychology experimental
8719,BF38-64:Philosophy,the cultural animal human nature meaning and social life psychology social psychology culture psychological aspects
8720,BF660-685:Comparative psychology. Animal and human psychology,a naturalistic view of man the importance of early training in learning living and the organization of society psychology comparative genetic psychology child psychology
8721,BF309-499:Consciousness. Congition,memoria e historia seminario internacional en homenaje a myrna mack ponencias guatemala 2630 de septiembre 2005 memory social aspects memory social aspects guatemala guatemala history civil war 19601996 political violence psychological aspects history
8722,BF660-685:Comparative psychology. Animal and human psychology,instinkte und archetypen im verhalten der tiere und im erleben des menschen hrsg von hans heusser 1 aufl jung c g carl gustav 18751961 instinct subconsciousness psychology comparative
8723,BF660-685:Comparative psychology. Animal and human psychology,sravnitelnaia psikhologiia metodicheskie ukazaniia dlia zaochnikov psychology comparative
8724,BF660-685:Comparative psychology. Animal and human psychology,comparative psychology phyletic differences in behavior psychology comparative
8725,BF660-685:Comparative psychology. Animal and human psychology,die rückseite des spiegels versuch einer naturgeschichte menschlichen erkennens psychology comparative cognition
8726,BF660-685:Comparative psychology. Animal and human psychology,the animal in man psychology comparative
8727,BF660-685:Comparative psychology. Animal and human psychology,problèmes de méthodes en psychologie comparée colloque de liège septembre 1969 publié sous la direction de m richelle et jcl ruwet avec des contributions de g p baerends et al psychology comparative congresses
8728,BF660-685:Comparative psychology. Animal and human psychology,comparative psychology research in animal behavior by stanley c ratner and m ray denny psychology comparative animal behavior
8729,BF660-685:Comparative psychology. Animal and human psychology,early behavior comparative and developmental approaches psychology comparative animal behavior
8730,BF511-593:Affection. Feeling. Emotion,experience without qualities boredom and modernity boredom
8731,BF660-685:Comparative psychology. Animal and human psychology,selected writings of t c schneirla edited by lester r aronson and others psychology comparative
8732,BF712-724:Developmental psychology,effects of early experience papers edited by marshall r jones infant psychology congresses psychology comparative congresses
8733,BF65-172:Psychology,laboratory studies in operant behavior human behavior psychophysiology
8734,BF207-209:Psychotropic drugs and other substances,readings in behavioral pharmacology edited by travis thompson roy pickens and richard a meisch psychopharmacology psychopharmacology research
8735,BF1-37:Psychology,searching image in carrion crows hunting strategy in a predator and some antipredator devices in camouflaged prey with 44 fig 2 colour photographs and 17 tables carrion crow predation biology birds behavior
8736,BF511-593:Affection. Feeling. Emotion,emotion in man and animal its nature and relation to attitude and motive by paul thomas young emotions
8737,BF660-685:Comparative psychology. Animal and human psychology,animal drives an enduring problem in psychology selected readings edited by george a cicala psychophysiology motivation psychology hunger
8738,BF173-175:Psychoanalysis,psychoanalyse und marxismus eine intellektuelle biographie wilhelm reichs reich wilhelm 18971957 psychoanalysis communism
8739,BF511-593:Affection. Feeling. Emotion,the attitude theory of emotion attitude psychology emotions
8740,BF173-175:Psychoanalysis,das elend der psychoanalysekritik beispiel kursbuch 29 subjektverleugnung als polit magie psychoanalysis
8741,BF173-175:Psychoanalysis,larbre jusquiaux racines psychanalyse et création proust marcel 18711922 mozart wolfgang amadeus 17561791 michelangelo buonarroti 14751564 psychoanalysis creative ability
8742,BF173-175:Psychoanalysis,c g jung sein mythos in unserer zeit von marielouise von franz jung c g carl gustav 18751961
8743,BF173-175:Psychoanalysis,zahl und zeit psychologische überlegungen zu einer annäherung von tiefenspsychologie und physik symbolism psychology mind and body
8744,BF173-175:Psychoanalysis,psychic trauma edited by sidney s furst psychic trauma
8745,BF1562-1584:Witchcraft,bruxas bruxos da cidade personagens da revolução do contemporâneo witches brazil biography
8746,BF173-175:Psychoanalysis,the unknown self a new psychological approach to the problems of life with special reference to disease self mind and body psychoanalysis
8747,BF511-593:Affection. Feeling. Emotion,feelings and emotions the mooseheart symposium in cooperation with the university of chicago emotions congresses
8748,BF173-175:Psychoanalysis,die wahrheit der psychoanalytischen erkenntnis ein historischmaterialistischer entwurf psychoanalysis psychology methodology
8749,BF173-175:Psychoanalysis,principles of psychopathology by robert w lundin psychology pathological
8750,BF173-175:Psychoanalysis,abnormal reactions or actions an autobiographical answer mowrer orval hobart 19071982 psychology pathological study and teaching
8751,BF511-593:Affection. Feeling. Emotion,fear the autobiography of james edwards by john rathbone oliver fear
8752,BF173-175:Psychoanalysis,clinical and experimental studies in personality with an introd and notes by a a roback psychoanalysis psychology pathological
8753,BF173-175:Psychoanalysis,entwicklungen der psychologie sigmund freuds freud sigmund 18561939 psychoanalysis
8754,BF173-175:Psychoanalysis,der mensch im widerstand studien zur anthropologischen psychologie resistance psychoanalysis
8755,BF173-175:Psychoanalysis,peculiarities of behavior wandering mania dipsomanis cleptomania pyromania and allied impulsive acts authorized english version by james s van teslaar psychology pathological psychoanalysis
8756,BF309-499:Consciousness. Congition,mental testing in clinical practice psychodiagnostics
8757,BF173-175:Psychoanalysis,zur dialektik von affekt sozial und ichbildung pestolozzi und freud freud sigmund 18561939 pestalozzi johann heinrich 17461827
8758,BF231-299:Sensation. Aesthesiology,signal detection theory and psychophysics a topical bibliography u preliminary draft psychophysiology signals and signaling
8759,BF511-593:Affection. Feeling. Emotion,emotion and personality emotions personality
8760,BF511-593:Affection. Feeling. Emotion,the place of prejudice in modern civilization prejudices nationalism evolution
8761,BF511-593:Affection. Feeling. Emotion,aggression aggressiveness aggressive behavior in animals
8762,BF511-593:Affection. Feeling. Emotion,angst und schuld in theologischer und psychotherapeutischer sicht ein tagungsbericht hrsg von wilhelm bitter anxiety congresses shame congresses
8763,BF309-499:Consciousness. Congition,task experience as a source of attitudes by paul e breer and edwin a locke attitude psychology
8764,BF698:Personality,notion de personne et personnalisme chrétien personality psychology religious
8765,BF1172-1227:Parapsychology,multiple personality an experimental investigation into the nature of human individuality personality disorders
8766,BF173-175:Psychoanalysis,psychological problems in mental deficiency psychology pathological intellectual disability
8767,BF636-637:Applied psychology,counselor development in american society conference recommendations none
8768,BF309-499:Consciousness. Congition,the psychology of private events perspectives on covert response systems edited by alfred jacobs and lewis b sachs contributors louis j j bruno and others thought and thinking emotions personality change
8769,BF173-175:Psychoanalysis,the fear of the feminine and other essays on feminine psychology femininity psychoanalysis
8770,BF699-711:Genetic Psychology,adapting minds evolutionary psychology and the persistent quest for human nature evolutionary psychology
8771,BF65-172:Psychology,the prediction of performance in clinical psychology by e lowell kelly and donald w fiske psychology vocational guidance clinical psychology prediction psychology
8772,BF692:Psychology of Sex. Sexual Behavior,mans will to hurt investigating the causes supports and varieties of his violence masculinity men psychology aggressiveness violence
8773,BF636-637:Applied psychology,explorations in sociology and counseling with essays by jessie bernard and others edited by donald a hansen counseling psychotherapy
8774,BF309-499:Consciousness. Congition,aspects of consciousness consciousness
8775,BF636-637:Applied psychology,professional counseling on human behavior its principles and practices by douglass w orr counseling
8776,BF636-637:Applied psychology,psychological counseling counseling
8777,BF636-637:Applied psychology,techniques of persuasion from propaganda to brainwashing persuasion psychology
8778,BF636-637:Applied psychology,le psychologue dans la cité psychology applied
8779,BF636-637:Applied psychology,le gouvernement soimeme essai de psychologie pratique habit will selfcontrol
8780,BF636-637:Applied psychology,psychology in human affairs by j stanley gray with the assistance of eleven contributors psychology applied
8781,BF38-64:Philosophy,systems of modern psychology a critical sketch psychology philosophy
8783,BF636-637:Applied psychology,intangibles in counseling counseling
8784,BF636-637:Applied psychology,research in counseling edited by lawrence litwack russell getson and glenn saltzman counseling
8785,BF636-637:Applied psychology,counseling psychology theories and case studies by james b meyer and joyce k meyer with foreword and critiques by george m gazda counseling case studies psychology applied case studies
8786,BF636-637:Applied psychology,strategies in counseling for behavior change by samuel h osipow w bruce walsh counseling behavior modification
8787,BF636-637:Applied psychology,nonverbale kommunikation ansätze zur beobachtung u analyse der aussersprachlichen aspekte von interaktionsverhalten von klaus rainer scherer ait 12 darst u sonagrammen nonverbal communication
8788,BF698:Personality,an experimental approach to projective techniques psychology experimental projective techniques
8789,BF180-198:Experimental psychology,development of techniques for the automatic experiments in a psychology laboratory final report psychology experiments psychology applied
8790,BF65-172:Psychology,psychology in action basic readings psychology psychology applied
8791,BF65-172:Psychology,psychology in action basic readings psychology psychology applied
8792,BF65-172:Psychology,the ernest becker reader psychology psychology pathological philosophical anthropology
8793,BF636-637:Applied psychology,being and caring selfactualization psychology interpersonal relations
8794,BF636-637:Applied psychology,positive addiction selfactualization psychology running psychological aspects transcendental meditation psychology popular works
8795,BF636-637:Applied psychology,personal politics the psychology of making it by ellen j langer and carol s dweck success interpersonal relations
8796,BF636-637:Applied psychology,the dynamics of personal adjustment by george f j lehner and ella kube adjustment psychology
8797,BF636-637:Applied psychology,shifting gears conduct of life
8798,BF636-637:Applied psychology,guide to developing your potential by herbert a otto success
8799,BF636-637:Applied psychology,the fear of success fear of success psychology pathological
8800,BF636-637:Applied psychology,counseling philosophy theory and practice counseling
8801,BF697:Differential psychology. Individuality. Self,how to live with yourself and like it interpersonal relations
8802,BF697:Differential psychology. Individuality. Self,experiences in being edited by bernice marshall selfactualization psychology case studies
8803,BF180-198:Experimental psychology,the psychological experiment a practical accomplishment editors harold b pepinsky and michael j patton psychology experimental
8804,BF636-637:Applied psychology,the helping interview interviewing counseling
8805,BF309-499:Consciousness. Congition,classical conditioning a symposium edited by william f prokasy conditioned response
8806,BF309-499:Consciousness. Congition,classical conditioning ii current research and theory abraham h black and william f prokasy editors classical conditioning neuropsychology rabbits psychology
8807,BF309-499:Consciousness. Congition,conditioning and learning conditioned response reflexes learning psychology of
8808,BF660-685:Comparative psychology. Animal and human psychology,instinct an enduring problem in psychology selected readings edited by robert c birney and richard c teevan instinct
8809,BF65-172:Psychology,vocational psychology its problems and methods by h l hollingworth with a chapter on the vocational aptitudes of women by leta stetter hollingworth psychophysiology
8810,BF636-637:Applied psychology,industrial psychology psychology industrial
8811,BF636-637:Applied psychology,human relations in action problems and cases in dealing with people psychology applied industrial efficiency
8812,BF712-724:Developmental psychology,humor its origin and development humor in children wit and humor psychology
8813,BF309-499:Consciousness. Congition,silent speech and silent reading reading psychology of
8814,BF309-499:Consciousness. Congition,the psychology of speech speech
8815,BF309-499:Consciousness. Congition,reading and visual fatigue reading psychology of eye movements fatigue
8816,BF309-499:Consciousness. Congition,controlled reading a correlation of diagnostic teaching and corrective techniques by earl a taylor reading reading psychology of eye movements
8817,BF795-839:Temperament. Character,the willtemperament and its testing by june e downey temperament will psychophysiology
8818,BF660-685:Comparative psychology. Animal and human psychology,psychology of motivation motivation psychology
8819,BF660-685:Comparative psychology. Animal and human psychology,understanding human motivation motivation psychology
8820,BF65-172:Psychology,ivan pavlov pavlov ivan petrovich 18491936 psychologists soviet union biography classical conditioning
8821,BF660-685:Comparative psychology. Animal and human psychology,understanding human motivation compiled and edited by chalmers l stacey and manfred f demartino motivation psychology
8822,BF38-64:Philosophy,individual choice behavior a theoretical analysis psychometrics choice psychology
8823,BF309-499:Consciousness. Congition,choice strategy and utility in collaboration with alberta engvall siegel and julia mcmichael andrews choice psychology
8824,BF65-172:Psychology,current psychologies a critical synthesis by albert j levine psychology
8825,BF309-499:Consciousness. Congition,adjustment and personality adjustment psychology personality
8826,BF309-499:Consciousness. Congition,the psychology of adjustment an objective approach to mental hygiene by laurance frederic shaffer adaptability psychology personality mental health
8827,BF660-685:Comparative psychology. Animal and human psychology,the concept of motivation motivation psychology
8828,BF608-635:Will. Volition. Choice. Control,why men confess confession psychology
8829,BF173-175:Psychoanalysis,an introduction to psychoanalytic theory of motivation psychoanalysis motivation psychology
8830,BF180-198:Experimental psychology,fundamentals of general psychology by john frederick dashiell psychophysiology behaviorism psychology
8831,BF38-64:Philosophy,lexplication en psychologie colloque réalisé sous les auspices de lassociation de psychologie scientifique de langue française none
8832,BF180-198:Experimental psychology,fundamentals of general psychology psychophysiology
8833,BF309-499:Consciousness. Congition,cosmic consciousness a study in the evolution of the human mind consciousness whitman walt 18191892 friends and associates
8834,BF1892-2049:Occult sciences,ascended master discourses by the ascended masters i am religious activity
8837,BF712-724:Developmental psychology,the young child at play reviews of research child psychology
8840,BF309-499:Consciousness. Congition,invisible walls why we ignore the damage we inflict on the planet and ourselves environmental psychology
8841,BF697:Differential psychology. Individuality. Self,selfinsight roadblocks and detours on the path to knowing thyself selfperception
8842,BF712-724:Developmental psychology,brief interventions with bereaved children families bereavement in children social work with children brief psychotherapy bereavement child attitude to death child counseling methods psychotherapy brief methods child
8843,BF511-593:Affection. Feeling. Emotion,engendering emotions emotions sex differences sex differences psychology
8844,BF697:Differential psychology. Individuality. Self,neoliberal selfhood self education aims and objectives students psychology neoliberalism
8845,BF309-499:Consciousness. Congition,grounding cognition the role of perception and action in memory language and thinking cognitive science mind and body
8846,BF697:Differential psychology. Individuality. Self,psychosocial theories of the self self congresses self social aspects congresses
8847,BF712-724:Developmental psychology,adolescent psychology a contemporary view adolescent psychology
8848,BF173-175:Psychoanalysis,vision reality and complex jung politics and culture jungian psychology social psychology myth political culture psychoanalysis and culture
8849,BF309-499:Consciousness. Congition,psychology of the unconscious mesmer janet freud jung and current issues subconsciousness history psychoanalysis history
8850,BF1892-2049:Occult sciences,why worlds are made bible criticism interpretation etc miscellanea plurality of worlds miscellanea end of the world miscellanea antichrist miscellanea evolution controversial literature
8851,BF309-499:Consciousness. Congition,cognition as intuitive statistics cognition statistics statistical hypothesis testing
8852,BF712-724:Developmental psychology,curiosity imagination and play on the development of spontaneous cognitive and motivational processes curiosity in children congresses imagination in children congresses play psychological aspects congresses cognition in children congresses child psychology germany west congresses
8853,BF608-635:Will. Volition. Choice. Control,psychiatry and the cia victims of mind control cameron ewen 19011967 allan memorial institute united states central intelligence agency brainwashing québec province montréal human experimentation in psychology québec province montréal psychiatric ethics québec province montréal
8854,BF65-172:Psychology,the great psychologists a history of psychological thought psychology history psychology united states history
8857,BF636-637:Applied psychology,mozart et disney neurolinguistic programming thought and thinking human information processing genius
8859,BF712-724:Developmental psychology,meaning in midlife transitions middle age psychological aspects case studies life change events case studies
8860,BF65-172:Psychology,the hidden freud his hassidic roots freud sigmund 18561939 mysticism judaism psychoanalysis
8863,BF309-499:Consciousness. Congition,the problems of work how to solve them and succeed work psychological aspects scientology
8865,BF712-724:Developmental psychology,lin xianzhi tong shu bian lan astrology chinese almanacs chinese
8866,BF65-172:Psychology,psychology in america a historical survey psychology united states history psychology history psychologists united states history psychologists biography
8867,BF712-724:Developmental psychology,brain maturation and cognitive development comparative and crosscultural perspectives cognition in children brain growth pediatric neuropsychology
8868,BF697:Differential psychology. Individuality. Self,public self and private self selfpresentation self
8869,BF712-724:Developmental psychology,do fathers matter what science is telling us about the parent weve overlooked fatherhood psychological aspects father and child fathers families psychological aspects
8871,BF309-499:Consciousness. Congition,acts of consciousness a social psychology standpoint consciousness social psychology
8872,BF511-593:Affection. Feeling. Emotion,letting go caring for the dying and the bereaved bereavement death grief
8873,BF65-172:Psychology,the languages of psyche mind and body in enlightenment thought clark library lectures 19851986 mind and body history enlightenment
8875,BF309-499:Consciousness. Congition,the iq mythology class race gender and inequality intelligence tests test bias intelligence levels social aspects educational tests and measurements
8876,BF309-499:Consciousness. Congition,new approaches in reasoning research reasoning psychology decision making cognitive psychology
8877,BF173-175:Psychoanalysis,the ability to mourn disillusionment and the social origins of psychoanalysis psychoanalysis and culture history social change psychological aspects history freud sigmund 18561939 psychology psychoanalysis history
8878,BF660-685:Comparative psychology. Animal and human psychology,understanding behavior what primate studies tell us about human behavior psychology comparative behavior evolution primates behavior
8879,BF309-499:Consciousness. Congition,behavior settings a revision and extension of roger g barkers ecological psychology environmental psychology
8881,BF231-299:Sensation. Aesthesiology,the comparative psychology of audition perceiving complex sounds auditory perception psychology comparative
8882,BF2056-end:Occult sciences,prejudice and racial identity among white latterday saint college students an exploratory study college students attitudes mormons attitudes racism black people
8883,BF65-172:Psychology,entering the circle hermeneutic investigation in psychology hermeneutics psychology research methodology
8884,BF698:Personality,the evolution of mind fundamental questions and controversies evolutionary psychology human evolution
8885,BF309-499:Consciousness. Congition,the artists way a spiritual path to higher creativity creative ability problems exercises etc selfactualization psychology problems exercises etc creation literary artistic etc
8886,BF38-64:Philosophy,explaining behavior reasons in a world of causes psychology philosophy human behavior causation
8887,BF698:Personality,the oxford handbook of comparative evolutionary psychology evolutionary psychology psychology comparative social evolution behavior evolution cognition and culture
8888,BF1783-1815:Seers. Prophets. Prophecies,the prophecies of nostradamus translated edited and introduced by erika cheetham prophecies
8889,BF309-499:Consciousness. Congition,the descent of mind the nature and purpose of intelligence intellect
8890,BF636-637:Applied psychology,an introduction to therapeutic counseling counseling
8892,BF309-499:Consciousness. Congition,before the gates of excellence the determinants of creative genius creative ability genius
8894,BF309-499:Consciousness. Congition,the right to be intelligent intellect nature and nurture educational psychology
8895,BF173-175:Psychoanalysis,the differing uses of sumbolic and clinical approaches in practice and theory proceedings of the ninth international congress for analytical psychology jerusalem 1983 jung c g carl gustav 18751961 congresses psychoanalysis congresses symbolism psychology congresses psychotherapy congresses
8897,BF636-637:Applied psychology,177 mental toughness secrets of the world class the thought processes habits and philosophies of the great ones success psychological aspects personal coaching success psychology applied personal coaching psychology applied success success psychological aspects
8898,BF309-499:Consciousness. Congition,assessment of intellectual functioning intelligence tests
8899,BF501-505:Motivation,motivation intention and volition motivation psychology intentionalism will heckhausen heinz
8900,BF712-724:Developmental psychology,lifespan human development developmental psychology
8901,BF698:Personality,charisma the gift of grace and how it has been taken away from us charisma personality trait history
8902,BF712-724:Developmental psychology,adolescent psychology adolescent psychology
8903,BF511-593:Affection. Feeling. Emotion,culture of fear revisited risktaking and the morality of low expectation fear uncertainty risk risk perception fear sociological aspects social psychology
8905,BF309-499:Consciousness. Congition,attitude structure and function attitude psychology
8906,BF1892-2049:Occult sciences,crónica andina titikaka el lago sagrado una senda de perfección xolar mysticism bolivia occultism bolivia titicaca lake peru and bolivia titicaca lake peru and bolivia antiquities
8907,BF1585-1623:Magic. Hermetics. Necromancy,prayer magic and the stars in the ancient and late antique world magic ancient congresses magic religious aspects history congresses dreams religious aspects history congresses stars religious aspects history congresses divination history congresses
8908,BF511-593:Affection. Feeling. Emotion,group dynamics and emotional expression emotions social groups
8909,BF712-724:Developmental psychology,interaction in human development social interaction in children child psychology
8910,BF309-499:Consciousness. Congition,piaget evolution and development cognition human information processing thought and thinking psychology comparative
8911,BF840-885:Physiognomy. Phrenology,delineation of character as determined by the teachings of phrenology physiology and physiognomy phrenology
8912,BF608-635:Will. Volition. Choice. Control,action selfdevelopment theory and research through the life span intentionality philosophy action theory maturation psychology
8913,BF38-64:Philosophy,multivariate and mixture distribution rasch models extensions and applications rasch models
8914,BF511-593:Affection. Feeling. Emotion,cognitive neuroscience of emotion emotions and cognition psychophysiology
